Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1915,1,27,1,9,56,2,1,6.6,0,GREECE,IONIAN SEA,38.4,20.6,,0,,,,,,,,,,
1915,2,11,,,,1,9,,0,USA TERRITORY,"MANUA ISLANDS, AMERICAN SAMOA",-14.18,-169.66,2.4,1,,,3,,,,,,,
1915,5,23,,,,1,1,,0,INDONESIA,KAIMANA,-3.644,133.695,0.5,1,,0,,,,,,,,
1915,8,7,15,4,3,3,1,6.7,0,GREECE,IONIAN SEA,38.5,20.7,1.5,2,,3,,,,,,3,,
1915,8,,,,,1,1,,0,PAPUA NEW GUINEA,"HUON GULF, SOLOMON SEA",,,,0,,,,,,,,,,
1915,9,7,1,20,48,1,1,7.9,0,EL SALVADOR,EL SALVADOR,14,-89,,1,,0.5,,,,,,,,
1915,11,1,7,23,43,4,1,7.8,0,JAPAN,SANRIKU,38.3,142.9,1,3,,0.5,,,,,,1,,
1915,11,6,,,,2,1,6,0,INDONESIA,NW. IRIAN JAYA,-1,136,,1,,0,,,,,,,,
1915,11,18,20,19,18,3,1,6.4,0,PHILIPPINES,W. LUZON ISLAND,18,119.5,,1,,0.5,,,,,,1,,
1916,1,1,13,20,49.3,3,1,7.9,0,PAPUA NEW GUINEA,BISMARCK SEA,-4.739,152.548,,1,1.5,2,,,,,,1,,
1916,1,31,,,,1,1,,0,COSTA RICA,COSTA RICA-PANAMA,,,,0,2.2,,,,,,,,,
1916,4,26,2,21,52,4,1,7,0,PANAMA,BOCAS DEL TORO,9.6,-82,1.3,6,,,,,,,0.025,1,,
1916,7,3,23,21,41,4,1,5.1,0,ITALY,STROMBOLI ISLAND,38.817,15.233,10,3,,4,,,,,,1,,
1916,8,16,7,6,,4,1,5.9,0,ITALY,CENTRAL ADRIATIC,43.967,12.667,,0,,2,,,,,,,,
1916,11,12,,,,2,1,,0,VENEZUELA,OCUMARE DE LA COSTA DE ORO,10.46,-67.77,,1,,,,,,,,,,
1917,1,9,,,,1,0,,0,INDONESIA,CELEBES SEA,1.57,122.72,,1,,2,,,,,,,,
1917,1,20,23,11,34,3,1,6.6,0,INDONESIA,BALI SEA,-7,116,2,2,1,,1500,,,,,2,,
1917,1,25,,,,3,1,6.5,0,CHINA,SOUTH CHINA SEA,24.47,118.08,,2,1,1,,,,,,1,,
1917,1,30,2,45,36,2,1,7.8,0,RUSSIA,KAMCHATKA,56.5,163,,0,,,,,,,,,,
1917,1,31,3,39,55,3,1,6.4,0,PHILIPPINES,CELEBES SEA,6,125,1.5,1,0.6,,7,,,2,,2,,
1917,1,,,,,1,0,,0,INDONESIA,LINGA ARCHIPELAGO,-0.25,104.5,,0,,1.5,,,,,,,,
1917,3,16,,,,2,0,,0,INDONESIA,JAVA SEA,-3.7,116.6,1.5,2,,1,,,,,,2,,
1917,5,1,18,27,,4,1,8,0,NEW ZEALAND,KERMADEC ISLANDS,-29.2,-177,0.3,6,3.6,3,,,,,,,,
1917,5,6,12,19,,4,1,5.8,0,TAIWAN,TAIWAN,23.2,121.6,0.5,1,-1,-0.5,,,,,,,,
1917,6,26,5,49,42,4,1,8.3,1,SAMOA,SAMOA ISLANDS,-15.5,-173,12.2,17,3.6,3,2,,,,,2,,
1917,7,29,21,52,31,2,1,7.5,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.705,141.729,0.9,1,,1,,,,,,,,
1917,8,16,,,,3,8,,0,USA,"TAKU INLET, JUNEAU, AK",58.204,-134.147,2.4,1,,,1,,,,,1,,
1917,8,23,,,,2,0,,0,INDONESIA,BANDA SEA,-3.6,128.7,,1,,0.5,,,,,,,,
1917,9,1,,,,2,0,,0,FRENCH POLYNESIA,MAUPIHAA,,,1.9,1,,,,,,,,1,,
1917,11,16,3,19,28,2,1,7.5,0,NEW ZEALAND,KERMADEC ISLANDS,-29,-177.5,2.5,1,1.3,1,,,,,,,,
1917,12,6,13,4,,4,10,,0,CANADA,"HALIFAX, NOVA SCOTIA",44.633,-63.583,7,5,,,2000,,,9000,,,,
1918,2,13,6,7,13,3,3,7.5,0,CHINA,GUANGDONG PROVINCE,23.5,117.2,,1,1,-1,2000,,,,,4,,
1918,5,20,17,55,10,2,1,7.9,0,CHILE,NORTHERN CHILE,-28.5,-71.5,,0,,,,,,,,,,
1918,7,18,2,30,,1,6,,0,INDONESIA,SULAWESI,3.138,125.491,0.08,2,,0,,,,,,,,
1918,8,14,,,,0,1,5.5,0,CHINA,YUNNAN PROVINCE,26.9,103,,1,,,,,,,,1,,
1918,8,15,12,18,12,4,1,8.3,0,PHILIPPINES,CELEBES SEA,5.5,123,7.2,10,2.8,2.5,52,,,,,3,,
1918,9,7,17,16,,4,1,8.2,0,RUSSIA,S. KURIL ISLANDS,45.5,151.5,12,22,3.6,3,23,,,7,,2,,19
1918,10,11,14,14,42,4,3,7.1,4,USA TERRITORY,PUERTO RICO: MONA PASSAGE,18.7,-67.189,6.1,21,2.6,,144,,,,4,2,,
1918,10,25,3,43,,3,1,6.4,0,USA TERRITORY,PUERTO RICO,18.441,-67.214,,2,,,,,,,,,,
1918,11,8,4,38,,4,1,7.8,0,RUSSIA,S. KURIL ISLANDS,44.5,151.5,0.5,8,1,2,,,,,,,,
1918,12,4,11,47,48,4,1,7.8,0,CHILE,NORTHERN CHILE,-26,-71,5,4,2.3,2.5,,,,,,3,,
1918,,,,,,1,6,,0,ICELAND,ICELAND,63.63,-19.05,,0,,,,,,,,1,,
1919,1,1,1,33,42,1,1,7.4,0,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",8,126,0.44,3,-0.1,,,,,,,,,
1919,1,1,2,59,57,1,1,8.3,0,TONGA,TONGA ISLANDS,-19.6,-176.6,0.4,0,,,,,,,,,,
1919,1,,,,,-1,0,,0,USA,HAWAII,,,,0,,,,,,,,,,
1919,2,13,,,,2,0,,0,INDONESIA,TIMOR SEA,-9,124.85,,1,,1.5,,,,,,1,,
1919,4,3,,,,1,6,,0,INDONESIA,SULAWESI,3.138,125.491,5,0,,,,,,,,1,,
1919,4,9,,,,-1,0,,0,USA,HAWAII,,,,1,,,,,,,,,,
1919,4,29,,,,-1,1,,0,TONGA,TONGA ISLANDS,-19,-172.6,,0,,,,,,,,,,
1919,4,30,7,17,17.3,4,1,8.1,1,TONGA,TONGA ISLANDS,-18.352,-172.515,2.5,9,1.3,1.5,,,,,,,,
1919,5,6,19,41,13,3,1,8.2,0,PAPUA NEW GUINEA,SOLOMON SEA,-4.806,153.859,,2,2.6,1,,,,,,1,,
1919,5,22,17,45,,4,6,,0,ITALY,STROMBOLI ISLAND,38.789,15.213,0.75,5,,4,4,,,,,1,10,
1919,6,29,23,14,13.4,3,1,6.6,0,NICARAGUA,GULF OF FONSECA,12.33,-88.291,,2,,,,,,,,,,
1919,8,19,,,,0,1,,0,VENEZUELA,LAGO DE MARACAIBO,10.6,-71.6,,1,,,,,,,,2,,
1919,10,2,,,,4,7,,0,USA,"ALIKA, HAWAII",19.23,-155.9,4.3,3,,2,,,,,,1,,
1919,10,22,6,6,,-1,1,5.6,0,ITALY,TYRRHENIAN SEA,41.4,12.6,,0,,,,,,,,,,
1919,11,21,,,,1,1,,0,INDONESIA,NW. IRIAN JAYA,-2.55,140.75,,1,,,,,,,,1,,
1919,12,26,,,,1,1,,0,UKRAINE,CRIMEA,44,33,,0,,,,,,,,,,
1920,1,29,,,,1,1,,0,INDONESIA,N. MOLUCCAS ISLANDS,0.87,122.92,2,2,1,1,,,,,,,,
1920,2,2,11,22,18,1,1,7.7,0,PAPUA NEW GUINEA,SOLOMON SEA,-6.5,150,,1,,,,,,,,1,,
1920,8,20,16,15,38,3,1,7,0,CHILE,CENTRAL CHILE,-38,-73.5,1.4,1,0.5,1,,,,,,2,,
1920,8,,,,,-1,1,,0,USA TERRITORY,"PAGO PAGO, AMERICAN SAMOA",-15,-170,,1,,,,,,,,,,
1920,9,20,14,39,,3,1,7.8,0,VANUATU,VANUATU ISLANDS,-19.919,168.53,,2,1,,,,,,,1,,
1920,12,16,12,5,53,0,1,7.8,0,CHINA,CHINA: GANSU AND SHANXI PROVINCES,36.7,104.9,0.75,4,,,,,,,,,,
1920,12,18,2,1,57,1,1,5.6,0,ALBANIA,ALBANIAN COASTS,40.5,19.5,,1,,5,,,,,,3,,
1921,5,14,11,17,45,2,1,6.2,0,INDONESIA,MAKASSAR STRAIT,0.7,117.9,1,1,,0.5,,,,,,2,,
1921,8,4,,,,3,1,,0,CHINA,"XIAOSI, DANDONG, LIAONING",40.13,124.38,,0,,,,,,,,2,,
1921,9,11,4,1,38,4,1,7.5,0,INDONESIA,JAVA,-11,111,0.1,3,-2.3,-2,,,,,,,,
1921,11,11,18,36,8,3,1,7.5,0,PHILIPPINES,PHILIPPINE TRENCH,8,127,,4,0.5,1,,,,,,1,,
1921,12,16,,,,-1,9,,0,USA,HAWAII,,,,1,,0,,,,,,,,
1922,1,6,14,11,2,2,1,7.2,0,PERU,S. PERU,-16.5,-73,,0,,,,,,,,,,
1922,1,19,21,58,58.5,3,1,6.9,0,PAPUA NEW GUINEA,BISMARCK SEA,-7.111,143.53,1.8,1,,,,,,,,1,,
1922,2,22,,,,1,1,,0,INDONESIA,BANDA SEA,-3.3,128.9,,1,,0.5,,,,,,,,
1922,2,27,20,39,50,2,1,6.3,0,PHILIPPINES,CEBU ISLAND,10.2,124.1,0.7,3,-0.5,0,5,,,,,2,,
1922,3,1,9,10,23,2,1,6,0,PHILIPPINES,SULU SEA,9,123.25,,1,,0.5,,,,,,2,,
1922,4,10,,,,1,1,,0,INDONESIA,SW. SUMATRA,-1,100.35,,1,,0,,,,,,,,
1922,5,2,,,,2,0,,0,USA,GULF OF MEXICO,,,0.64,1,,,,,,,,,,
1922,7,8,,,,1,1,,0,INDONESIA,"LHOKNGA, ACEH",5.5,95.2,,1,,0,,,,,,,,
1922,8,8,3,49,6,2,1,5.6,0,GREECE,AEGEAN SEA,37.5,23.2,,0,,,,,,,,,,
1922,9,1,19,16,6,1,1,7.6,0,TAIWAN,TAIWAN,24.5,122,,1,,,5,,,7,,2,139,
1922,10,22,,,,1,0,,0,AUSTRALIA,TASMAN SEA,,,,1,,,,,,,,,,
1922,11,7,23,0,9,2,1,7,0,CHILE,NORTHERN CHILE,-28,-72,,0,,,,,,,,,,
1922,11,11,4,32,36,4,1,8.7,0,CHILE,NORTHERN CHILE,-28.553,-70.755,9,36,3.2,2.5,700,,,,,3,,
1922,12,25,3,33,10,3,1,6.3,0,NEW ZEALAND,SE. NEW ZEALAND,-43,173,0.4,3,,0,,,,,,,,
1923,1,22,9,4,18,0,1,7.2,0,USA,N. CALIFORNIA,40.8,-124.5,0.1,1,-2,,,,,,,1,,
1923,2,3,16,1,41,4,1,8.3,1,RUSSIA,KAMCHATKA,54,161,8,21,3,,3,,,,1.5,2,,
1923,2,17,,,,3,0,,0,CHILE,CENTRAL CHILE,-35.33,-72.42,1.5,1,0.6,1.5,,,,,,,,
1923,3,2,16,48,52,3,1,7.2,0,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.5,124,,1,,0.5,,,,,,,,
1923,3,4,,,,1,0,,0,CHILE,SAN FELIX ISLAND,-26.3,-80.1,35,1,,4,,,,,,,,
1923,4,13,15,31,2,4,1,7.2,1,RUSSIA,KAMCHATKA,56.5,162.5,20,11,4.9,3.5,18,,,,,3,,
1923,5,4,22,26,45,-1,1,7,0,CHILE,NORTHERN CHILE,-28.75,-71.75,,0,,,,,,,,2,,
1923,5,7,,,,-1,1,,0,CHILE,NORTHERN CHILE,,,,0,,,,,,,,,,
1923,6,1,17,24,0,4,1,7.3,0,JAPAN,"KASHIMA, JAPAN",35.4,141.8,0.4,1,-1.3,-1.5,,,,,,,,
1923,7,18,2,24,19,1,1,5.5,0,PHILIPPINES,"BUTUAN, SULU SEA",9.3,125,,1,0.5,1,,,,,,,,
1923,8,6,,,,1,0,,0,USA,"ROCKAWAY BEACH, NY",40.6,-73.5,,1,,,2,,,,,,,
1923,8,12,,,,2,1,,0,CHILE,NORTHERN CHILE,-18.5,-70.3,,1,,,,,,,,,,
1923,8,,,,,1,0,,0,KOREA,KOREA,,,,0,,1.5,,,,,,2,,
1923,9,1,2,58,37,4,1,7.9,1,JAPAN,SAGAMI BAY,35.1,139.5,13,140,3.6,3,142807,43476,4,47000,600,4,695000,
1923,9,2,2,46,40,4,1,7.7,0,JAPAN,RYUKYU ISLANDS,34.9,140.2,0.3,6,-1.7,-1.5,,,,,,,,
1923,9,4,,,,-1,9,,0,USA,N. CALIFORNIA,,,6.1,1,,,,,,,,,,
1923,11,2,21,8,11.5,3,1,7.1,0,PAPUA NEW GUINEA,BISMARCK SEA,-4.653,154.232,,2,,,,,,,,,,
1923,11,4,0,4,47.8,1,1,7.1,0,PAPUA NEW GUINEA,NEW BRITAIN,-4.539,153.107,,1,,,,,,,,,,
1923,,,,,,2,4,6.1,0,VIETNAM,OFF COAST OF CENTRAL VIETNAM,10.158,109.014,,2,,,,,,,,1,,
1924,3,15,10,31,24.1,0,1,6.8,0,RUSSIA,TATAR STRAIT,49.179,142.436,,1,,,,,,,,,,
1924,4,13,,,,-1,0,,0,RUSSIA,TATAR STRAIT,,,,0,,,,,,,,,,
1924,4,14,16,20,23,4,3,8.3,0,PHILIPPINES,E. MINDANAO ISLAND,6.5,126.5,,3,,0.5,,,,,,3,,
1924,4,16,,,,-1,0,,0,RUSSIA,TATAR STRAIT,,,,0,,,,,,,,,,
1924,5,6,16,9,20,4,3,6.5,0,PHILIPPINES,PHILIPPINES,16,118,,1,1,1.5,,,,,,1,,
1924,5,30,,,,-1,9,,0,USA,HAWAII,,,5,3,2.3,2,,,,,,,,
1924,6,2,,,,-1,1,,0,PHILIPPINES,W. LUZON ISLAND,,,,0,5,,,,,,,,,
1924,6,26,1,37,34,3,1,7.8,0,AUSTRALIA,MACQUARIE ISLAND,-56,157.5,,1,,,,,,,,,,
1924,7,19,,,,1,0,,1,NEW ZEALAND,CHATHAM I.,-43.95,-176.567,,1,,1,,,,,,1,,
1924,8,8,,,,1,0,,0,USA,"CONEY ISLAND, NY",40.567,-73.983,4.6,1,,,,,,,,,,
1924,8,28,,,,1,1,,0,ICELAND,ICELAND: REYKJAVIK,64.15,-21.95,,0,,,,,,,,,,
1924,8,30,3,4,7,2,1,7.3,0,PHILIPPINES,E. MINDANAO ISLAND,8.5,126.5,,2,,0.5,,,,,,2,,
1925,1,8,,,,1,1,,0,INDONESIA,BANDA SEA,-8,115,1,1,,0,,,,,,,,
1925,2,23,23,53,36,3,3,6,0,USA,"GULF OF ALASKA, AK",60,-146,1.4,1,0.5,1,,,,,,1,,
1925,5,4,17,25,,1,0,,0,MEXICO,MEXICO,14.583,-106.1,,1,,,,,,,,,,
1925,5,5,10,6,6,2,1,6.8,0,PHILIPPINES,W. LUZON ISLAND,9.3,122.7,,1,,0.5,17,,,,,2,,
1925,5,11,,,,-1,9,,0,ITALY,CALABRIAN ARC,,,,0,,,,,,,,,,
1925,5,15,11,56,57,2,1,7.1,0,CHILE,NORTHERN CHILE,-26,-71.5,,0,,,,,,,,,,
1925,5,25,3,43,6,2,1,6.3,0,PHILIPPINES,W. LUZON ISLAND,12.2,122.1,,2,-0.5,0.5,,,,,,,,
1925,10,4,16,,,4,9,,0,USA,CALIFORNIA,,,0.34,2,,-3.5,,,,,,,,
1925,11,13,12,14,45,2,1,7.3,0,PHILIPPINES,PHILIPPINE SEA,13,125,,2,,0.5,,,,,,2,,
1925,11,16,11,54,54,1,1,7,0,MEXICO,S. MEXICO,18.5,-107,11,1,3.5,3,,,,,,2,,
1925,11,25,,,,-1,1,,0,PHILIPPINES,SULU SEA,,,,0,,,,,,,,,,
1925,12,22,,,,1,9,,0,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,10,138,,1,,1.5,,,,,,3,,
1926,1,9,,,,2,8,,0,USA,"BERNARD, ME",44.233,-68.35,3,3,,,,,,,,,,
1926,1,25,0,36,25,3,1,7.5,0,SOLOMON ISLANDS,SOLOMON SEA,-10.061,159.215,,1,,,,,,,,1,,
1926,3,20,9,3,,1,1,,0,USA,HAWAII,20.5,-155.5,1.5,1,0.6,,,,,,,,,
1926,3,31,,,,-1,9,,0,COOK ISLANDS,COOK ISLANDS,,,,1,,2.5,1,,,,,2,,
1926,6,28,3,23,25,0,1,5.8,0,INDONESIA,SW. SUMATRA,-0.7,100.6,,1,,,,,,,,2,,
1926,7,30,,,,1,1,,0,UK,ENGLISH CHANNEL,49.21,-2.131,,0,,,,,,,,,,
1926,7,,,,,1,0,,0,SOUTH KOREA,S. OF KOREA,35,128,,0,,1.5,,,,,,,,
1926,8,17,1,42,,2,1,5.3,0,ITALY,AEOLIAN ISLANDS,38.567,14.833,,0,,3,,,,,,,,
1926,8,30,11,38,12,3,1,7.2,0,GREECE,ARGOLIKOS GULF,36.5,23.3,,0,,,,,,,,,,
1926,8,31,10,40,9.7,1,1,5.8,0,PORTUGAL,AZORES,37.973,-28.59,0.3,1,,,9,,,200,,2,,
1926,9,16,17,59,15,4,1,6.9,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.674,159.519,2,3,1,1.5,,,,,,2,,
1926,12,9,,,,2,1,6,0,CHILE,NORTHERN CHILE,-28,-71,,3,0.6,0.5,,,,,,,,
1926,12,18,14,45,,2,3,,0,PORTUGAL,PORTUGAL,38.7,-9.2,,1,,,,,,,,2,,
1926,,,,,,2,0,,0,NEW ZEALAND,"TOLAGA BAY, NORTH ISLAND",-38.37,178.31,6.35,1,,,,,,,,,,
1927,1,1,8,17,,1,9,5.7,0,USA,S. CALIFORNIA,32.5,-115.5,,1,,1,1,,,,3,2,,20
1927,1,24,5,18,22,2,1,5.1,0,NORWAY,WESTERN NORWAY,59,3,,0,,,,,,,,,,
1927,3,7,9,27,,4,3,7.6,0,JAPAN,SW. HONSHU ISLAND,35.6,135.1,11.3,17,0.4,0.5,3022,,,3295,,4,15594,9821
1927,6,26,11,20,48,4,1,6,0,UKRAINE,"CRIMEA, BLACK SEA",44.4,34.4,0.7,0,-0.5,2,,,,,,2,,
1927,7,11,13,4,,2,1,6.3,1,ISRAEL,DEAD SEA,32,35.5,1,0,,,268,,,,,3,,
1927,8,5,21,13,1.1,4,1,6.9,0,JAPAN,SANRIKU,37.9,142,0.1,5,-3.3,,,,,,,1,,
1927,8,18,19,28,,4,1,6.4,0,JAPAN,"KASHIMA, JAPAN",34.2,142,0.4,2,-1.3,,,,,,,,,
1927,9,6,,,,1,9,,0,MEXICO,MEXICO,17,-104,,3,,,,,,,,,,
1927,9,11,22,15,48,4,1,6.8,0,UKRAINE,"CRIMEA, BLACK SEA",44.4,34.5,1,1,,2,11,,,122,,4,,
1927,10,12,8,31,0,2,8,,0,USA,"SE. ALASKA, AK",,,,1,,,,,,,,,,
1927,10,24,15,59,44.8,3,3,7.1,0,USA,"SE. ALASKA, AK",57.69,-136.07,,9,,,,,,,,,,
1927,11,4,13,50,43,4,1,7.3,0,USA,S. CALIFORNIA,34.813,-120.774,1.8,8,1,1,,,,,,2,,
1927,11,21,23,12,25,3,1,7.1,0,CHILE,SOUTHERN CHILE,-44.6,-73,,1,1.5,2,,,,,,,,
1927,12,1,4,37,27,3,1,6.3,0,INDONESIA,SULAWESI,-0.7,119.7,15,2,3.9,3,50,,,50,,3,,
1927,12,28,18,20,34.2,4,1,7.5,0,RUSSIA,KAMCHATKA,55.663,160.039,2,2,1,,,,,,,,,
1928,2,9,,,,2,1,5.8,0,CANADA,BRITISH COLUMBIA,49,-125,,1,,0,,,,,,,,
1928,3,22,4,17,,4,1,7.7,0,MEXICO,MEXICO,15.67,-96.1,,1,,,,,,,,,,
1928,3,26,,,,3,6,,1,INDONESIA,KRAKATAU,-6.102,105.423,,0,,0,,,,,,,,
1928,3,31,0,29,47,1,1,6.5,0,GREECE,EAST AEGEAN,38.1,27.4,,1,,2,170,,,700,,4,2600,
1928,3,31,,,,1,0,,0,CHILE,NORTHERN CHILE,-23.7,-70.4,,1,,2,,,,,,,,
1928,4,9,17,34,15,1,1,6.9,0,PERU,S. PERU,-13,-69.6,,1,,1,10,,,,,3,,
1928,4,22,20,13,46,3,1,6,0,GREECE,CORINTHOS-PATRAS GULF,38,23,0.6,7,1.1,3,20,,,,,4,3000,
1928,4,24,1,14,48,2,1,5,0,GREECE,AEGEAN SEA,38,23.5,,0,,3,,,,,,,,
1928,4,25,0,31,18,1,1,5.2,0,GREECE,"GRECIAN ARCHIPELAGO, CRETE",38,23,,0,,,,,,,,,,
1928,4,27,20,34,58,0,1,6.8,0,PERU,S. PERU,-13,-69.5,,0,,,,,,,,,,
1928,4,27,,,,2,2,,0,GREECE,AEGEAN SEA,,,0.6,1,,,,,,,,,,
1928,5,2,21,54,32,1,1,6.2,0,GREECE,NORTH AEGEAN,39.6,29.1,,0,,,,,,,,,,
1928,5,3,1,25,13,2,1,4.3,0,TURKEY,WESTERN TURKEY,40.8,26.8,,1,,2,,,,,,,,
1928,5,18,,,,2,1,,0,TONGA,LIFUKA ISLAND,-19.83,-174.36,,1,,0.5,,,,,,,,
1928,5,27,9,50,0,4,1,7,0,JAPAN,SANRIKU,40,143.2,0.45,8,-2.3,-2,,,,,,,,
1928,5,30,,,,-1,0,,0,JAPAN,SAPPORO,43.062,141.354,,0,,,,,,,,,,
1928,6,15,6,12,36,3,1,7,0,PHILIPPINES,SULU SEA,12.4,120.9,,1,,0.5,,,,,,2,,
1928,6,17,3,19,33.1,4,1,7.7,0,MEXICO,S. MEXICO,16.028,-97.036,0.2,10,3,1,4,,,,,2,,
1928,7,18,19,5,,2,1,7,0,PERU,N. PERU,-5.5,-79,,0,,,,,,,,,,
1928,8,4,,,,4,7,,1,INDONESIA,FLORES SEA,-8.32,121.708,10,2,3.3,3,226,,,200,,2,,
1928,9,13,,,,-1,9,,0,VENEZUELA,CARUPANO,,,,1,,,,,,,,,,
1928,11,20,20,35,7,2,1,7.1,0,CHILE,NORTHERN CHILE,-22.5,-70.5,,0,,,,,,,,,,
1928,12,1,4,6,12,3,1,7.6,0,CHILE,CENTRAL CHILE,-35,-72,1.5,2,0.6,0.5,279,,,,,3,,
1928,12,19,11,37,10,3,1,7.3,0,PHILIPPINES,CELEBES SEA,7,124,,2,,1,97,,,102,,2,,
1928,,,,,,1,0,,0,CANADA,"CURLING, NEWFOUNDLAND",48.967,-58,,0,,,,,,,,,,
1929,1,17,11,52,,4,1,6.9,0,VENEZUELA,CUMANA,10.6,-65.6,6,5,1,,50,,,800,,3,,
1929,3,7,1,34,37.9,4,1,7.8,0,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",50.88,-169.71,1,7,,,,,,,,1,,
1929,5,21,16,35,,4,1,7.1,0,JAPAN,HIUGANADA,31.7,132.2,0.7,1,-0.5,,,,,,,,,
1929,5,26,22,39,54,3,1,7,0,CANADA,BRITISH COLUMBIA,51,-131,1.5,3,0.6,0,,,,,,1,,
1929,6,13,9,24,34,2,1,7.2,0,PHILIPPINES,E. MINDANAO ISLAND,8.5,127,,4,,0.5,,,,,,2,,
1929,6,16,22,47,32,2,3,7.5,0,NEW ZEALAND,TASMAN SEA,-41.75,172.25,2.5,2,1.3,1.5,17,,,,,3,,
1929,8,9,,,,2,9,,0,CHILE,NORTHERN CHILE,-23.7,-70.4,7.5,1,2,2.5,,,,,,,,
1929,8,12,11,24,0,0,1,,0,USA,"ATTICA, NEW YORK",42.9,-78.3,,1,,,,,,,,,,
1929,11,9,,,,2,0,,0,INDONESIA,"TJALANG, N.W. SUMATRA",4.633,95.567,,1,,,6,,,,,,,
1929,11,18,20,32,,4,3,7.3,10,CANADA,"GRAND BANKS, NEWFOUNDLAND",44.69,-56,13,45,2.2,,28,,,,1,2,,
1930,1,3,,,,0,1,5.5,0,CHINA,JIANGSU PROVINCE,32.2,119.4,,1,,,,,,,,1,,
1930,2,16,,,,2,1,,0,SPAIN,OFF SOUTHERN COAST,36,-3,,1,,,,,,,,,,
1930,2,,,,,-1,0,,0,USA,HAWAII,,,,0,,,,,,,,,,
1930,3,4,18,3,,4,8,,0,PORTUGAL,MADEIRA ISLAND,32.617,-16.967,5,1,,,20,,,,,,,
1930,3,17,,,,1,6,,0,INDONESIA,KRAKATAU,-6.102,105.423,500,0,,,,,,,,,,
1930,5,2,,,,4,8,,0,NORWAY,MID-NORWAY,63.317,9.85,,0,,3,,,,,,1,,
1930,5,5,13,45,58,4,1,7.3,0,MYANMAR (BURMA),MYANMAR COAST,17.3,96.5,1.06,1,,,500,,,,,3,,
1930,6,19,13,7,27,3,1,6,0,INDONESIA,SOUTH OF JAVA,-5.6,105.3,1.5,1,-0.5,,,,,,,,,
1930,7,19,15,20,12,2,1,6.5,0,INDONESIA,SOUTH OF JAVA,-9.3,114.3,0.1,1,-3.3,,,,,,,,,
1930,8,31,0,40,38,3,3,5.2,0,USA,S. CALIFORNIA,34.03,-118.643,3.05,3,-1,-0.5,1,,,,,1,,
1930,9,11,9,52,,4,6,,1,ITALY,STROMBOLI ISLAND,38.789,15.213,2.5,1,,3,6,,,20,,2,,
1930,9,11,,,,1,1,,0,INDONESIA,CELEBES SEA,1.2,124.57,,1,,0,,,,,,,,
1930,9,30,21,20,54.1,3,1,6.6,0,PAPUA NEW GUINEA,BISMARCK SEA,-4.423,145.46,,1,,,,,,,,,,
1930,10,30,7,13,10,4,1,5.9,0,ITALY,CENTRAL ADRIATIC,43.667,13.267,,0,,4,18,,,,,3,,
1930,11,5,,,,3,1,,0,KENYA,MOMBASA,-4.05,39.667,6,1,,,,,,,,,,
1930,12,23,21,35,36,4,1,6.5,0,PAPUA NEW GUINEA,BISMARCK SEA,-1.3,144.3,12,29,3.4,1.5,27,,,8,,2,104,
1930,12,29,8,26,24,2,1,6,0,CHILE,NORTHERN CHILE,-28.5,-71,1,1,,0.5,,,,,,,,
1931,2,2,22,46,51.3,4,3,7.7,2,NEW ZEALAND,N. NEW ZEALAND,-39.772,176.025,15,5,,0,261,,,400,25,4,,
1931,2,13,1,27,16,1,1,7.1,0,NEW ZEALAND,N. NEW ZEALAND,-39.5,177,0.1,1,,0,,,,,,,,
1931,2,19,,,,1,1,,0,NEW ZEALAND,N. NEW ZEALAND,-39.5,177,,1,,,,,,,,,,
1931,3,9,3,49,0,4,1,7.6,0,JAPAN,SANRIKU,41.2,142.5,0.4,7,-1.3,-1,,,,,,,,
1931,3,18,8,2,23,2,1,7.1,0,CHILE,CENTRAL CHILE,-32.5,-72,,0,,,,,,,,,,
1931,6,7,0,25,21,2,1,6,0,UK,"DOGGER BANK, ENGLAND",54,1.067,,0,,,,,,,,,,
1931,8,7,2,11,44.2,1,1,7,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.417,142.077,,2,,,,,,,,,,
1931,8,19,,,,1,9,,0,USA,"ATLANTIC CITY, NJ",39.35,-74.417,3,4,,,4,,,,,,,
1931,8,31,,,,1,0,,0,PORTUGAL,AZORES,38.4,-27.1,,2,,,,,,,,1,,
1931,9,25,5,59,44,3,1,7.4,0,INDONESIA,SW. SUMATRA,-5,102.75,1,1,4.9,,,,,,,1,,
1931,10,3,19,13,20.8,4,1,7.8,0,SOLOMON ISLANDS,SAN CRISTOBAL ISLAND,-10.932,161.016,9,13,3.3,2.5,50,,,,,3,,
1931,11,2,10,2,,4,1,7.1,0,JAPAN,SEIKAIDO,32.2,132.1,0.8,9,-0.3,,1,,,,,,14,
